Name	TSig	EvSw	Tempo	Long Name	Genre	Group	#Instr	Other Genres
CAJNZYD2	4/4	sw8	120	Cajun Zydeco 2-World Styles 2	Blues	Country	5	World
Calling	4/4	ev8	110	Calling - Slow New Age Style	Lite Pop	Pop	5	New Age
CAMPFIRE	4/4	sw8	160	Campfire - Swing Strumming	Country	Country	4	Folk,Campfire
CANDLES	4/4	ev16	80	Candles - Smooth Jazz - Floating 16ths	Jazz	Jazz	5	Smooth Jazz,Smooth Jazz
C_ANDY	4/4	ev16	90	Andy - Country Rock	Country	Country	5	Country Contemporary
Canned1	4/4	ev8	145	Canned 1 - Ev.8 Rock Blues	Blues	Pop	5	Blues
CAREY128	12/8	sw8	70	Carey 12/8 - Top 40 12/8	Lite Pop	Pop	5	Lite Pop
CARIBEAN	4/4	ev16	110	Caribbean Style	Latin	Jazz	4	Tropical
CashLuth	4/4	sw8	200	CashLuth - Country 2-Beat Swing 8ths	Country	Country	5	Country Classic
Castaway	4/4	ev8	150	Castaway - Fast Even 8ths Rock	Pop	Pop	5	Pop
Catalina	4/4	ev16	120	Catalina - LA Pop Jazz	Jazz	Jazz	5	Fusion
C_BALAD	4/4	ev16	85	Country Ballad	Country	Country	5	Country Ballad
C_Bdunn	4/4	ev8	98	BDunn - Top40 Country Straight 8th Rock	Country	Country	5	Country Contemporary
C_BILLY	4/4	ev16	110	Billy - Country Rock	Country	Country	5	Country Ballad,Country Contemporary
C_Billy2	4/4	ev8	160	Rockabilly Blues2	Blues	Country	4	Country,Country Classic,Rockabilly,Country
C_BLUE	4/4	sw8	110	Blue - Classic Country Shuffle	Blues	Country	5	Country,Country Classic
C_BOBBYG	4/4	ev8	120	Bobby Goldsbro Style	Country	Country	5	Country
C_Boogie	4/4	ev8	150	Uptempo Country Boogie	Blues	Country	4	Country,Country Classic
c~brushs	4/4	ev8	135	Contemporary Country Brushes Style	Country	Country	5	Country Contemporary,Boom Chick
c_buck	4/4	ev8	185	Country Buck Style	Country	Country	5	Country Classic
C_BWILLS	4/4	ev16	125	BWills - Uptempo Country	Country	Country	5	Country Classic
C_CAJUN	4/4	sw8	135	Country Cajun	Country	Country	5	Country Classic
CC_AVRIL	4/4	ev16	85	CC_Avril - Heavy Metal, Alt. Rock Style	Heavy Rock	Pop	5	Heavy Rock
CC_BRUSH	4/4	ev16	70	CC_Brush - Contemporary Even 16ths Country Ballad	Country	Country	5	Country Ballad,Country Contemporary,Lite Pop
CC_CELIN	4/4	ev16	65	CC_Celin - Very Slow Ev.16ths Ballad	R&B	Pop	5	Pop,Lite Pop,Soul
CC_COLV	4/4	ev8	125	CC_Colv - Med Ev. 8 Adult Contemporary Rock	Country	Country	5	Country Contemporary
CC_COUNT	4/4	ev8	90	CC_Count - Contemporary Med-Ev.8ths Rock	Country	Country	5	Country Contemporary,Lite Pop
CC_CROW	4/4	ev8	130	CC_Crow - Adult Contemporary Ev.8ths Rock	Country	Country	5	Country Contemporary,Lite Pop
CC_GIRLS	4/4	ev16	95	CC_Girls - Driving Ev.16ths Rock Groove	Lite Pop	Pop	5	Pop
C_Chalee	4/4	ev16	72	Chalee - Top 40 Country Ballad	Country	Country	5	Country Ballad,Country Classic
C~CHARLY	4/4	ev8	120	Charly - Classic Country Ballad	Country	Country	5	Country Ballad,Country Classic
C_Chely	4/4	ev8	90	Chely - Top 40 Country Rock	Country	Country	5	Country Contemporary
CC_HIVE	4/4	ev8	140	CC_Hive - Ev. 8th Alt. Rock, Grunge Groove	Heavy Rock	Pop	4	Heavy Rock
